hour,timestep_h,workload_source,trace_bin_start,hardware_profile,processor_model,accelerator_model,processing_unit_name,servers_per_cluster,total_server_count,processing_capacity_per_server,server_idle_power_kw,server_max_power_kw,gpu_server_count,gpus_per_gpu_server,total_gpu_capacity,gpu_idle_power_kw,gpu_max_power_kw,workload,workload_cpu_units,total_cpu_capacity,assigned_workload,assigned_workload_cpu_units,unmet_workload,unmet_workload_cpu_units,interactive_workload_cpu_units,batch_arrival_cpu_units,batch_served_cpu_units,batch_backlog_cpu_units,batch_deadline_missed_cpu_units,batch_arrival_gpu_hours,batch_backlog_gpu_hours,scheduled_gpu_hours,requested_average_gpus,assigned_average_gpus,unmet_average_gpus,active_gpu_count,gpu_utilisation,agent_response_time_s,agent_timed_out,fallback_used,scheduling_ai_skipped,cooling_ai_skipped,battery_ai_skipped,all_ai_skipped,agentic_architecture,agent_prompt_tokens,agent_completion_tokens,agent_total_tokens,IT_power_kw,CPU_server_power_kw,accelerator_power_kw,cooling_power_kw,cooling_heat_removed_kw,effective_cooling_cop,cooling_setpoint_C,ambient_temperature_C,total_power_kw,IT_energy_kwh,cooling_energy_kwh,total_energy_kwh,solar_kw,solar_used_kwh,solar_to_load_kwh,solar_to_battery_kwh,solar_curtailed_kwh,battery_command_kw,battery_power_kw,battery_discharge_kwh,battery_charge_kwh,battery_SOC,battery_capex_per_kwh,battery_cycle_life,battery_degradation_cost_per_kwh,battery_degradation_cost,battery_equivalent_full_cycles,grid_power_kw,facility_power_capacity_kw,facility_operating_limit_kw,power_risk_ratio,power_risk_level,power_cap_violation,operating_limit_violation,grid_energy_kwh,grid_to_load_kwh,grid_to_battery_kwh,temperature_C,temperature_violation,electricity_price,grid_energy_cost,counterfactual_grid_cost_without_battery,battery_net_saving_vs_grid,cost,pue,run_incomplete
0,1.0,cloud_trace,2024-01-01T00:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.00047842403621163593,0.47842403621163593,1000.0,0.0004784240362116359,0.4784240362116359,5.551115123125783e-20,5.551115123125783e-17,0.0,0.47842403621163593,0.47842403621163593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,104.09390439998242,0,0,0,0,0,0,four_agent,8948,772,9720,1.0095684807242327,1.0095684807242327,0.0,1.0599501899244157,1.7940265472269237,3.203903810567666,21.0,22.669872981077805,2.069518670648648,1.0095684807242327,1.0599501899244157,2.069518670648648,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,2.069518670648648,75.0,71.25,0.027593582275315307,normal,0,0,2.069518670648648,2.069518670648648,0.0,21.0,0,0.2,0.41390373412972964,0.41390373412972964,0.0,0.41390373412972964,2.049904201807133,False
1,1.0,cloud_trace,2024-01-01T01:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.00022073746529905337,0.22073746529905336,1000.0,0.00022073746529905334,0.22073746529905333,2.7755575615628914e-20,2.7755575615628914e-17,0.22073746529905336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,38.46330669999588,0,0,0,0,0,0,four_agent,8948,696,9644,1.004414749305981,1.004414749305981,0.0,0.9782331749875435,1.5393794461180117,3.21888887394336,21.0,22.17037086855466,1.9826479242935244,1.004414749305981,0.9782331749875435,1.9826479242935244,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,1.9826479242935244,75.0,71.25,0.026435305657246992,normal,0,0,1.9826479242935244,1.9826479242935244,0.0,21.0,0,0.2,0.39652958485870493,0.39652958485870493,0.0,0.39652958485870493,1.9739335027322846,False
2,1.0,cloud_trace,2024-01-01T02:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.00013371011360748558,0.13371011360748558,1000.0,0.00013371011360748558,0.13371011360748558,0.0,0.0,0.13371011360748558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,21.45109180000145,0,0,0,1,1,0,four_agent,2044,148,2192,1.0026742022721498,1.0026742022721498,0.0,0.9505398548878854,1.4525404921585423,3.2239999999999998,21.0,22.0,1.9532140571600352,1.0026742022721498,0.9505398548878854,1.9532140571600352,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,1.9532140571600352,75.0,71.25,0.026042854095467135,normal,0,0,1.9532140571600352,1.9532140571600352,0.0,21.0,0,0.2,0.3906428114320071,0.3906428114320071,0.0,0.3906428114320071,1.9480046985689636,False
3,1.0,cloud_trace,2024-01-01T03:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.0005897746007319748,0.5897746007319749,1000.0,0.0005897746007319748,0.5897746007319749,0.0,0.0,0.5897746007319749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,39.38301030002185,0,0,0,0,0,0,four_agent,8948,696,9644,1.0117954920146395,1.0117954920146395,0.0,0.9804114749686285,1.5463911516912372,3.21888887394336,21.0,22.17037086855466,1.992206966983268,1.0117954920146395,0.9804114749686285,1.992206966983268,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,1.992206966983268,75.0,71.25,0.026562759559776907,normal,0,0,1.992206966983268,1.992206966983268,0.0,21.0,0,0.2,0.39844139339665363,0.39844139339665363,0.0,0.39844139339665363,1.9689818572095825,False
4,1.0,cloud_trace,2024-01-01T04:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.0002677407254654187,0.26774072546541866,1000.0,0.0002677407254654187,0.26774072546541866,0.0,0.0,0.26774072546541866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,45.72465999997803,0,0,0,0,0,0,four_agent,8948,772,9720,1.0053548145093083,1.0053548145093083,0.0,1.0587007819706025,1.7900235643227473,3.2039038105676654,21.0,22.66987298107781,2.0640555964799105,1.0053548145093083,1.0587007819706025,2.0640555964799105,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,2.0640555964799105,75.0,71.25,0.02752074128639881,normal,0,0,2.0640555964799105,2.0640555964799105,0.0,21.0,0,0.2,0.41281111929598213,0.41281111929598213,0.0,0.41281111929598213,2.053061831197706,False
5,1.0,cloud_trace,2024-01-01T05:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.0003083749812078493,0.24669998496627943,1000.0,0.00024669998496627945,0.24669998496627943,0.0,0.0,0.0,0.3083749812078493,0.24669998496627943,0.06167499624156986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,41.56545359999291,0,0,0,0,0,0,four_agent,8948,696,9644,1.0049339996993256,1.0049339996993256,0.0,1.1876965242025643,2.1869203467479905,3.1800660171779818,21.0,23.464466094067262,2.19263052390189,1.0049339996993256,1.1876965242025643,2.19263052390189,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,2.19263052390189,75.0,71.25,0.0292350736520252,normal,0,0,2.19263052390189,2.19263052390189,0.0,21.0,0,0.2,0.43852610478037807,0.43852610478037807,0.0,0.43852610478037807,2.1818652016529656,False
6,1.0,cloud_trace,2024-01-01T06:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.004370304283614267,4.370304283614267,1000.0,0.004370304283614267,4.370304283614267,0.0,0.0,0.3619107736797033,4.008393509934564,4.008393509934564,0.06167499624156986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,40.43346679999377,0,0,0,0,0,0,four_agent,8948,696,9644,1.0874060856722854,1.0874060856722854,0.0,1.383783989008787,2.783035781388671,3.149,21.0,24.5,2.4711900746810724,1.0874060856722854,1.383783989008787,2.4711900746810724,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,2.4711900746810724,75.0,71.25,0.032949200995747635,normal,0,0,2.4711900746810724,2.4711900746810724,0.0,21.0,0,0.2,0.4942380149362145,0.4942380149362145,0.0,0.4942380149362145,2.2725549426673175,False
7,1.0,cloud_trace,2024-01-01T07:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.0022312638422566965,2.2929388384982667,1000.0,0.002292938838498267,2.2929388384982667,0.0,0.0,0.0,2.2312638422566966,2.2929388384982667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,38.376468000002205,0,0,0,0,0,0,four_agent,8948,696,9644,1.0458587767699654,1.0458587767699654,0.0,1.575075061821098,3.3465182251751657,3.1128228567653777,21.0,25.705904774487397,2.620933838591063,1.0458587767699654,1.575075061821098,2.620933838591063,12.940952255126037,12.940952255126039,2.620933838591063,10.320018416534975,0.0,-10.320018416534975,-10.320018416534975,0.0,10.320018416534975,0.7326800583190274,400.0,10000,0.04953560371517028,0.0,0.0,0.0,75.0,71.25,0.03494578451454751,normal,0,0,0.0,0.0,0.0,21.0,0,0.2,0.0,0.0,0.0,0.0,2.506011229054812,False
8,1.0,cloud_trace,2024-01-01T08:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24.07836139999563,0,0,1,0,0,0,four_agent,2246,200,2446,0.0,0.0,0.0,1.4759271307742354,3.0,3.074,21.0,27.0,1.4759271307742354,0.0,1.4759271307742354,1.4759271307742354,24.999999999999996,24.999999999999996,1.4759271307742354,23.524072869225762,0.0,-23.524072869225762,-23.524072869225762,0.0,23.524072869225762,0.8071729557382423,400.0,10000,0.04953560371517028,0.0,0.0,0.0,75.0,71.25,0.019679028410323138,normal,0,0,0.0,0.0,0.0,21.0,0,0.3,0.0,0.0,0.0,0.0,,False
9,1.0,cloud_trace,2024-01-01T09:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,22.614208100014366,0,0,1,0,0,0,four_agent,2246,200,2446,0.0,0.0,0.0,1.7015930012142892,3.6470476127563014,3.0351771432346215,21.0,28.294095225512603,1.7015930012142892,0.0,1.7015930012142892,1.7015930012142892,35.35533905932738,35.35533905932738,1.7015930012142892,33.653746058113086,0.0,-33.653746058113086,-33.653746058113086,0.0,33.653746058113086,0.9137431515889338,400.0,10000,0.04953560371517028,0.0,0.0,0.0,75.0,71.25,0.02268790668285719,normal,0,0,0.0,0.0,0.0,21.0,0,0.3,0.0,0.0,0.0,0.0,,False
