hour,timestep_h,workload_source,trace_bin_start,hardware_profile,processor_model,accelerator_model,processing_unit_name,servers_per_cluster,total_server_count,processing_capacity_per_server,server_idle_power_kw,server_max_power_kw,gpu_server_count,gpus_per_gpu_server,total_gpu_capacity,gpu_idle_power_kw,gpu_max_power_kw,workload,workload_cpu_units,total_cpu_capacity,assigned_workload,assigned_workload_cpu_units,unmet_workload,unmet_workload_cpu_units,interactive_workload_cpu_units,batch_arrival_cpu_units,batch_served_cpu_units,batch_backlog_cpu_units,batch_deadline_missed_cpu_units,batch_arrival_gpu_hours,batch_backlog_gpu_hours,scheduled_gpu_hours,requested_average_gpus,assigned_average_gpus,unmet_average_gpus,active_gpu_count,gpu_utilisation,agent_response_time_s,agent_timed_out,fallback_used,scheduling_ai_skipped,cooling_ai_skipped,battery_ai_skipped,all_ai_skipped,agentic_architecture,agent_prompt_tokens,agent_completion_tokens,agent_total_tokens,IT_power_kw,CPU_server_power_kw,accelerator_power_kw,cooling_power_kw,cooling_heat_removed_kw,effective_cooling_cop,cooling_setpoint_C,ambient_temperature_C,total_power_kw,IT_energy_kwh,cooling_energy_kwh,total_energy_kwh,solar_kw,solar_used_kwh,solar_to_load_kwh,solar_to_battery_kwh,solar_curtailed_kwh,battery_command_kw,battery_power_kw,battery_discharge_kwh,battery_charge_kwh,battery_SOC,battery_capex_per_kwh,battery_cycle_life,battery_degradation_cost_per_kwh,battery_degradation_cost,battery_equivalent_full_cycles,grid_power_kw,facility_power_capacity_kw,facility_operating_limit_kw,power_risk_ratio,power_risk_level,power_cap_violation,operating_limit_violation,grid_energy_kwh,grid_to_load_kwh,grid_to_battery_kwh,temperature_C,temperature_violation,electricity_price,grid_energy_cost,counterfactual_grid_cost_without_battery,battery_net_saving_vs_grid,cost,pue,run_incomplete
0,1.0,cloud_trace,2024-01-01T00:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.00047842403621163593,0.3827392289693088,1000.0,0.0003827392289693088,0.3827392289693088,0.0,0.0,0.0,0.47842403621163593,0.3827392289693088,0.09568480724232714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,65.23871999999392,0,0,0,0,0,0,single_agent,1285,88,1373,1.0076547845793862,1.0076547845793862,0.0,0.0,0.0,3.263903810567666,21.5,22.669872981077805,1.0076547845793862,1.0076547845793862,0.0,1.0076547845793862,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,1.0076547845793862,75.0,71.25,0.01343539712772515,normal,0,0,1.0076547845793862,1.0076547845793862,0.0,21.022402606698616,0,0.2,0.20153095691587725,0.20153095691587725,0.0,0.20153095691587725,1.0,False
1,1.0,cloud_trace,2024-01-01T01:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.00022073746529905337,0.29728531109291506,1000.0,0.00029728531109291504,0.29728531109291506,0.0,0.0,0.22073746529905336,0.0,0.07654784579386172,0.019136961448465425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,21.397067499987315,0,0,0,0,0,0,single_agent,1285,88,1373,1.0059457062218582,1.0059457062218582,0.0,0.0,0.0,3.27888887394336,21.5,22.17037086855466,1.0059457062218582,1.0059457062218582,0.0,1.0059457062218582,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,1.0059457062218582,75.0,71.25,0.013412609416291443,normal,0,0,1.0059457062218582,1.0059457062218582,0.0,21.041523013596603,0,0.2,0.20118914124437165,0.20118914124437165,0.0,0.20118914124437165,1.0,False
2,1.0,cloud_trace,2024-01-01T02:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.00013371011360748558,0.14901968276625793,1000.0,0.00014901968276625794,0.14901968276625793,0.0,0.0,0.13371011360748558,0.0,0.015309569158772341,0.0038273922896930844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,23.20928389998153,0,0,0,0,0,0,single_agent,1285,88,1373,1.0029803936553252,1.0029803936553252,0.0,0.0,0.0,3.284,21.5,22.0,1.0029803936553252,1.0029803936553252,0.0,1.0029803936553252,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,1.0029803936553252,75.0,71.25,0.013373071915404336,normal,0,0,1.0029803936553252,1.0029803936553252,0.0,21.05942388693628,0,0.2,0.20059607873106505,0.20059607873106505,0.0,0.20059607873106505,1.0,False
3,1.0,cloud_trace,2024-01-01T03:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.0005897746007319748,0.5936019930216679,1000.0,0.000593601993021668,0.5936019930216679,0.0,0.0,0.5897746007319749,0.0,0.0038273922896930844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,21.290036299993517,0,0,0,0,0,0,single_agent,1285,88,1373,1.0118720398604333,1.0118720398604333,0.0,0.0,0.0,3.27888887394336,21.5,22.17037086855466,1.0118720398604333,1.0118720398604333,0.0,1.0118720398604333,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,1.0118720398604333,75.0,71.25,0.01349162719813911,normal,0,0,1.0118720398604333,1.0118720398604333,0.0,21.078383286044737,0,0.2,0.20237440797208667,0.20237440797208667,0.0,0.20237440797208667,1.0,False
4,1.0,cloud_trace,2024-01-01T04:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.0002677407254654187,0.26774072546541866,1000.0,0.0002677407254654187,0.26774072546541866,0.0,0.0,0.26774072546541866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,21.665706100000534,0,0,0,0,0,0,single_agent,1285,88,1373,1.0053548145093083,1.0053548145093083,0.0,0.0,0.0,3.2639038105676654,21.5,22.66987298107781,1.0053548145093083,1.0053548145093083,0.0,1.0053548145093083,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,1.0053548145093083,75.0,71.25,0.013404730860124111,normal,0,0,1.0053548145093083,1.0053548145093083,0.0,21.100268685060993,0,0.2,0.20107096290186166,0.20107096290186166,0.0,0.20107096290186166,1.0,False
5,1.0,cloud_trace,2024-01-01T05:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.0003083749812078493,0.24669998496627943,1000.0,0.00024669998496627945,0.24669998496627943,0.0,0.0,0.0,0.3083749812078493,0.24669998496627943,0.06167499624156986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,22.967809600027977,0,0,0,0,0,0,single_agent,1285,88,1373,1.0049339996993256,1.0049339996993256,0.0,0.0,0.0,3.240066017177982,21.5,23.464466094067262,1.0049339996993256,1.0049339996993256,0.0,1.0049339996993256,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,1.0049339996993256,75.0,71.25,0.013399119995991008,normal,0,0,1.0049339996993256,1.0049339996993256,0.0,21.126978510113712,0,0.2,0.20098679993986512,0.20098679993986512,0.0,0.20098679993986512,1.0,False
6,1.0,cloud_trace,2024-01-01T06:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.004370304283614267,4.370304283614267,1000.0,0.004370304283614267,4.370304283614267,0.0,0.0,0.3619107736797033,4.008393509934564,4.008393509934564,0.06167499624156986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,21.831393900007242,0,0,0,0,0,0,single_agent,1285,88,1373,1.0874060856722854,1.0874060856722854,0.0,0.0,0.0,3.209,21.5,24.5,1.0874060856722854,1.0874060856722854,0.0,1.0874060856722854,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,1.0874060856722854,75.0,71.25,0.014498747808963805,normal,0,0,1.0874060856722854,1.0874060856722854,0.0,21.16097284169286,0,0.2,0.2174812171344571,0.2174812171344571,0.0,0.2174812171344571,1.0,False
7,1.0,cloud_trace,2024-01-01T07:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.0022312638422566965,1.8343510707986135,1000.0,0.0018343510707986134,1.8343510707986135,0.0,0.0,0.0,2.2312638422566966,1.8343510707986135,0.45858776769965315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,22.20084120001411,0,0,0,0,0,0,single_agent,1285,88,1373,1.0366870214159722,1.0366870214159722,0.0,0.0,0.0,3.172822856765378,21.5,25.705904774487397,1.0366870214159722,1.0366870214159722,0.0,1.0366870214159722,12.940952255126037,12.940952255126037,1.0366870214159722,11.904265233710065,0.0,-11.904265233710065,-11.904265233710065,0.0,11.904265233710065,0.7376968399067485,400.0,10000,0.04953560371517028,0.0,0.0,0.0,75.0,71.25,0.01382249361887963,normal,0,0,0.0,0.0,0.0,21.20168932465214,0,0.2,0.0,0.0,0.0,0.0,1.0,False
8,1.0,cloud_trace,2024-01-01T08:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.0,0.36687021415972254,1000.0,0.00036687021415972255,0.36687021415972254,0.0,0.0,0.0,0.0,0.36687021415972254,0.09171755353993061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,22.27458930001012,0,0,0,0,0,0,single_agent,1285,88,1373,1.0073374042831944,1.0073374042831944,0.0,0.0,0.0,3.134,21.5,27.0,1.0073374042831944,1.0073374042831944,0.0,1.0073374042831944,24.999999999999996,24.999999999999996,1.0073374042831944,23.9926625957168,0.0,-23.9926625957168,-23.9926625957168,0.0,23.9926625957168,0.8136736047931851,400.0,10000,0.04953560371517028,0.0,0.0,0.0,75.0,71.25,0.013431165390442592,normal,0,0,0.0,0.0,0.0,21.24989089804893,0,0.3,0.0,0.0,0.0,0.0,1.0,False
9,1.0,cloud_trace,2024-01-01T09:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.0,0.07337404283194449,1000.0,7.337404283194449e-05,0.07337404283194449,0.0,0.0,0.0,0.0,0.07337404283194449,0.01834351070798612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,21.513302300008945,0,0,0,0,0,0,single_agent,1285,88,1373,1.0014674808566388,1.0014674808566388,0.0,0.0,0.0,3.0951771432346216,21.5,28.294095225512603,1.0014674808566388,1.0014674808566388,0.0,1.0014674808566388,35.35533905932738,35.35533905932738,1.0014674808566388,34.35387157847074,0.0,-34.35387157847074,-34.35387157847074,0.0,34.35387157847074,0.9224608647916758,400.0,10000,0.04953560371517028,0.0,0.0,0.0,75.0,71.25,0.013352899744755184,normal,0,0,0.0,0.0,0.0,21.30580960143075,0,0.3,0.0,0.0,0.0,0.0,1.0,False
