hour,timestep_h,workload_source,trace_bin_start,hardware_profile,processor_model,accelerator_model,processing_unit_name,servers_per_cluster,total_server_count,processing_capacity_per_server,server_idle_power_kw,server_max_power_kw,gpu_server_count,gpus_per_gpu_server,total_gpu_capacity,gpu_idle_power_kw,gpu_max_power_kw,workload,workload_cpu_units,total_cpu_capacity,assigned_workload,assigned_workload_cpu_units,unmet_workload,unmet_workload_cpu_units,interactive_workload_cpu_units,batch_arrival_cpu_units,batch_served_cpu_units,batch_backlog_cpu_units,batch_deadline_missed_cpu_units,batch_arrival_gpu_hours,batch_backlog_gpu_hours,scheduled_gpu_hours,requested_average_gpus,assigned_average_gpus,unmet_average_gpus,active_gpu_count,gpu_utilisation,agent_response_time_s,agent_timed_out,fallback_used,scheduling_ai_skipped,cooling_ai_skipped,battery_ai_skipped,all_ai_skipped,agentic_architecture,agent_prompt_tokens,agent_completion_tokens,agent_total_tokens,IT_power_kw,CPU_server_power_kw,accelerator_power_kw,cooling_power_kw,cooling_heat_removed_kw,effective_cooling_cop,cooling_setpoint_C,ambient_temperature_C,total_power_kw,IT_energy_kwh,cooling_energy_kwh,total_energy_kwh,solar_kw,solar_used_kwh,solar_to_load_kwh,solar_to_battery_kwh,solar_curtailed_kwh,battery_command_kw,battery_power_kw,battery_discharge_kwh,battery_charge_kwh,battery_SOC,battery_capex_per_kwh,battery_cycle_life,battery_degradation_cost_per_kwh,battery_degradation_cost,battery_equivalent_full_cycles,grid_power_kw,facility_power_capacity_kw,facility_operating_limit_kw,power_risk_ratio,power_risk_level,power_cap_violation,operating_limit_violation,grid_energy_kwh,grid_to_load_kwh,grid_to_battery_kwh,temperature_C,temperature_violation,electricity_price,grid_energy_cost,counterfactual_grid_cost_without_battery,battery_net_saving_vs_grid,cost,pue,run_incomplete
0,1.0,cloud_trace,2024-01-01T00:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.00047842403621163593,0.23921201810581796,1000.0,0.00023921201810581794,0.23921201810581794,2.7755575615628914e-20,2.7755575615628914e-17,0.0,0.47842403621163593,0.23921201810581796,0.23921201810581796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,118.93998510000529,0,0,0,0,0,0,three_agent,5265,465,5730,1.0047842403621163,1.0047842403621163,0.0,1.0585315991636635,1.7894815188829132,3.203903810567666,21.0,22.669872981077805,2.06331583952578,1.0047842403621163,1.0585315991636635,2.06331583952578,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,2.06331583952578,75.0,71.25,0.02751087786034373,normal,0,0,2.06331583952578,2.06331583952578,0.0,21.0,0,0.2,0.412663167905156,0.412663167905156,0.0,0.412663167905156,2.053491442881486,False
1,1.0,cloud_trace,2024-01-01T01:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.00022073746529905337,0.26857986892021696,1000.0,0.00026857986892021694,0.26857986892021696,0.0,0.0,0.22073746529905336,0.0,0.0478424036211636,0.19136961448465437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,70.48810899999808,0,0,0,0,0,0,three_agent,5265,465,5730,1.0053715973784043,1.0053715973784043,0.0,0.978515572331596,1.5402884517868136,3.21888887394336,21.0,22.17037086855466,1.9838871697100005,1.0053715973784043,0.978515572331596,1.9838871697100005,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,1.9838871697100005,75.0,71.25,0.026451828929466674,normal,0,0,1.9838871697100005,1.9838871697100005,0.0,21.0,0,0.2,0.3967774339420001,0.3967774339420001,0.0,0.3967774339420001,1.9732874639418523,False
2,1.0,cloud_trace,2024-01-01T02:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.00013371011360748558,0.17198403650441646,1000.0,0.00017198403650441646,0.17198403650441646,0.0,0.0,0.13371011360748558,0.0,0.03827392289693088,0.1530956915877235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,69.0142058999918,0,0,0,0,0,0,three_agent,5265,465,5730,1.0034396807300883,1.0034396807300883,0.0,0.9507654146071911,1.4532676966935838,3.2239999999999998,21.0,22.0,1.9542050953372794,1.0034396807300883,0.9507654146071911,1.9542050953372794,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,1.9542050953372794,75.0,71.25,0.026056067937830392,normal,0,0,1.9542050953372794,1.9542050953372794,0.0,21.0,0,0.2,0.3908410190674559,0.3908410190674559,0.0,0.3908410190674559,1.9475062954610565,False
3,1.0,cloud_trace,2024-01-01T03:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.0005897746007319748,0.7428702923196984,1000.0,0.0007428702923196984,0.7428702923196984,0.0,0.0,0.5897746007319749,0.0,0.1530956915877235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,59.36210289999144,0,0,0,0,0,0,three_agent,5265,465,5730,1.014857405846394,1.014857405846394,0.0,0.0,0.0,3.27888887394336,21.5,22.17037086855466,1.014857405846394,1.014857405846394,0.0,1.014857405846394,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,1.014857405846394,75.0,71.25,0.013531432077951919,normal,0,0,1.014857405846394,1.014857405846394,0.0,21.01936624962289,0,0.2,0.2029714811692788,0.2029714811692788,0.0,0.2029714811692788,1.0,False
4,1.0,cloud_trace,2024-01-01T04:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.0002677407254654187,0.26774072546541866,1000.0,0.0002677407254654187,0.26774072546541866,0.0,0.0,0.26774072546541866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,31.676091200002702,0,0,0,0,0,0,three_agent,5265,465,5730,1.0053548145093083,1.0053548145093083,0.0,1.297461651626255,2.5549904244269426,3.2039038105676654,21.0,22.66987298107781,2.302816466135563,1.0053548145093083,1.297461651626255,2.302816466135563,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,2.302816466135563,75.0,71.25,0.030704219548474174,normal,0,0,2.302816466135563,2.302816466135563,0.0,21.009683124811446,0,0.2,0.46056329322711265,0.46056329322711265,0.0,0.46056329322711265,2.2905509904575503,False
5,1.0,cloud_trace,2024-01-01T05:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.0003083749812078493,0.06167499624156986,1000.0,6.167499624156986e-05,0.06167499624156986,0.0,0.0,0.0,0.3083749812078493,0.06167499624156986,0.24669998496627943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,31.763820699998178,0,0,0,0,0,0,three_agent,5265,465,5730,1.0012334999248313,1.0012334999248313,0.0,1.3068663631993749,2.5658883020143186,3.1800660171779818,21.0,23.464466094067262,2.3080998631242062,1.0012334999248313,1.3068663631993749,2.3080998631242062,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,2.3080998631242062,75.0,71.25,0.030774664841656082,normal,0,0,2.3080998631242062,2.3080998631242062,0.0,21.004841562405723,0,0.2,0.4616199726248413,0.4616199726248413,0.0,0.4616199726248413,2.305256329614909,False
6,1.0,cloud_trace,2024-01-01T06:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.004370304283614267,4.370304283614267,1000.0,0.004370304283614267,4.370304283614267,0.0,0.0,0.3619107736797033,4.008393509934564,4.008393509934564,0.24669998496627943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,31.476842800009763,0,0,0,0,0,0,three_agent,5265,465,5730,1.0874060856722854,1.0874060856722854,0.0,1.4445149242345887,2.97427749641472,3.149,21.0,24.5,2.531921009906874,1.0874060856722854,1.4445149242345887,2.531921009906874,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,2.531921009906874,75.0,71.25,0.03375894679875832,normal,0,0,2.531921009906874,2.531921009906874,0.0,21.00242078120286,0,0.2,0.5063842019813748,0.5063842019813748,0.0,0.5063842019813748,2.3284043038452578,False
7,1.0,cloud_trace,2024-01-01T07:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.0022312638422566965,0.4955927654445953,1000.0,0.0004955927654445953,0.4955927654445953,0.0,0.0,0.0,2.2312638422566966,0.4955927654445953,1.982371061778381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,33.592188099981286,0,0,0,0,0,0,three_agent,5265,465,5730,1.009911855308892,1.009911855308892,0.0,1.5948228229220562,3.4079895073001705,3.1128228567653777,21.0,25.705904774487397,2.6047346782309484,1.009911855308892,1.5948228229220562,2.6047346782309484,12.940952255126037,12.940952255126035,2.6047346782309484,10.336217576895088,0.0,-10.336217576895088,-10.336217576895088,0.0,10.336217576895088,0.7327313556601678,400.0,10000,0.04953560371517028,0.0,0.0,0.0,75.0,71.25,0.03472979570974598,normal,0,0,0.0,0.0,0.0,21.00121039060143,0,0.2,0.0,0.0,0.0,0.0,2.579170315249209,False
8,1.0,cloud_trace,2024-01-01T08:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.0,0.3964742123556762,1000.0,0.00039647421235567624,0.39647421235567626,0.0,0.0,0.0,0.0,0.3964742123556762,1.5858968494227048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,34.168982400005916,0,0,0,0,0,0,three_agent,5265,465,5730,1.0079294842471136,1.0079294842471136,0.0,1.802974443328302,4.0053434387912,3.074,21.0,27.0,2.8109039275754153,1.0079294842471136,1.802974443328302,2.8109039275754153,24.999999999999996,25.0,2.8109039275754153,22.189096072424583,0.0,-22.189096072424583,-22.189096072424583,0.0,22.189096072424583,0.802996826556179,400.0,10000,0.04953560371517028,0.0,0.0,0.0,75.0,71.25,0.03747871903433887,normal,0,0,0.0,0.0,0.0,21.000605195300714,0,0.3,0.0,0.0,0.0,0.0,2.7887902591470053,False
9,1.0,cloud_trace,2024-01-01T09:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.0,0.7929484247113524,1000.0,0.0007929484247113525,0.7929484247113525,0.0,0.0,0.0,0.0,0.7929484247113524,0.7929484247113524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,32.60901179999928,0,0,0,0,0,0,three_agent,5265,465,5730,1.015858968494227,1.015858968494227,0.0,0.0,0.0,3.0951771432346216,21.5,28.294095225512603,1.015858968494227,1.015858968494227,0.0,1.015858968494227,35.35533905932738,35.35533905932738,1.015858968494227,34.33948009083315,0.0,-34.33948009083315,-34.33948009083315,0.0,34.33948009083315,0.911738513510484,400.0,10000,0.04953560371517028,0.0,0.0,0.0,75.0,71.25,0.013544786246589693,normal,0,0,0.0,0.0,0.0,21.058252833240406,0,0.3,0.0,0.0,0.0,0.0,1.0,False
