hour,timestep_h,workload_source,trace_bin_start,hardware_profile,processor_model,accelerator_model,processing_unit_name,servers_per_cluster,total_server_count,processing_capacity_per_server,server_idle_power_kw,server_max_power_kw,gpu_server_count,gpus_per_gpu_server,total_gpu_capacity,gpu_idle_power_kw,gpu_max_power_kw,workload,workload_cpu_units,total_cpu_capacity,assigned_workload,assigned_workload_cpu_units,unmet_workload,unmet_workload_cpu_units,interactive_workload_cpu_units,batch_arrival_cpu_units,batch_served_cpu_units,batch_backlog_cpu_units,batch_deadline_missed_cpu_units,batch_arrival_gpu_hours,batch_backlog_gpu_hours,scheduled_gpu_hours,requested_average_gpus,assigned_average_gpus,unmet_average_gpus,active_gpu_count,gpu_utilisation,agent_response_time_s,agent_timed_out,fallback_used,scheduling_ai_skipped,cooling_ai_skipped,battery_ai_skipped,all_ai_skipped,agentic_architecture,agent_prompt_tokens,agent_completion_tokens,agent_total_tokens,IT_power_kw,CPU_server_power_kw,accelerator_power_kw,cooling_power_kw,cooling_heat_removed_kw,effective_cooling_cop,cooling_setpoint_C,ambient_temperature_C,total_power_kw,IT_energy_kwh,cooling_energy_kwh,total_energy_kwh,solar_kw,solar_used_kwh,solar_to_load_kwh,solar_to_battery_kwh,solar_curtailed_kwh,battery_command_kw,battery_power_kw,battery_discharge_kwh,battery_charge_kwh,battery_SOC,battery_capex_per_kwh,battery_cycle_life,battery_degradation_cost_per_kwh,battery_degradation_cost,battery_equivalent_full_cycles,grid_power_kw,facility_power_capacity_kw,facility_operating_limit_kw,power_risk_ratio,power_risk_level,power_cap_violation,operating_limit_violation,grid_energy_kwh,grid_to_load_kwh,grid_to_battery_kwh,temperature_C,temperature_violation,electricity_price,grid_energy_cost,counterfactual_grid_cost_without_battery,battery_net_saving_vs_grid,cost,pue,run_incomplete
0,1.0,cloud_trace,2024-01-01T00:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.00047842403621163593,0.0956848072423272,1000.0,9.56848072423272e-05,0.0956848072423272,0.0,0.0,0.0,0.47842403621163593,0.0956848072423272,0.38273922896930873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,60.18370130000403,0,0,0,0,0,0,two_agent,3056,246,3302,1.0019136961448465,1.0019136961448465,0.0,0.0,0.0,3.263903810567666,21.5,22.669872981077805,1.0019136961448465,1.0019136961448465,0.0,1.0019136961448465,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,1.0019136961448465,75.0,71.25,0.013358849281931286,normal,0,0,1.0019136961448465,1.0019136961448465,0.0,21.022334431273457,0,0.2,0.20038273922896932,0.20038273922896932,0.0,0.20038273922896932,1.0,False
1,1.0,cloud_trace,2024-01-01T01:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.00022073746529905337,0.2972853110929151,1000.0,0.0002972853110929151,0.2972853110929151,0.0,0.0,0.22073746529905336,0.0,0.07654784579386176,0.306191383175447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.557755099987844,0,0,0,0,0,0,two_agent,3056,246,3302,1.0059457062218582,1.0059457062218582,0.0,0.0,0.0,3.27888887394336,21.5,22.17037086855466,1.0059457062218582,1.0059457062218582,0.0,1.0059457062218582,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,1.0059457062218582,75.0,71.25,0.013412609416291443,normal,0,0,1.0059457062218582,1.0059457062218582,0.0,21.04145526426785,0,0.2,0.20118914124437165,0.20118914124437165,0.0,0.20118914124437165,1.0,False
2,1.0,cloud_trace,2024-01-01T02:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.00013371011360748558,0.194948390242575,1000.0,0.00019494839024257498,0.194948390242575,0.0,0.0,0.13371011360748558,0.0,0.0612382766350894,0.24495310654035757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,30.632297999982256,0,0,0,0,0,0,two_agent,3056,246,3302,1.0038989678048515,1.0038989678048515,0.0,1.4588048877154653,3.09118695799466,3.2239999999999998,21.0,22.0,2.462703855520317,1.0038989678048515,1.4588048877154653,2.462703855520317,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,2.462703855520317,75.0,71.25,0.032836051406937565,normal,0,0,2.462703855520317,2.462703855520317,0.0,21.020727632133926,0,0.2,0.49254077110406347,0.49254077110406347,0.0,0.49254077110406347,2.4531391449732456,False
3,1.0,cloud_trace,2024-01-01T03:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.0005897746007319748,0.8347277072723325,1000.0,0.0008347277072723323,0.8347277072723324,1.1102230246251566e-19,1.1102230246251565e-16,0.5897746007319749,0.0,0.24495310654035757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,29.27940420000232,0,0,0,0,0,0,two_agent,3056,246,3302,1.0166945541454466,1.0166945541454466,0.0,0.0,0.0,3.27888887394336,21.5,22.17037086855466,1.0166945541454466,1.0166945541454466,0.0,1.0166945541454466,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,1.0166945541454466,75.0,71.25,0.013555927388605955,normal,0,0,1.0166945541454466,1.0166945541454466,0.0,21.039986150192032,0,0.2,0.20333891082908934,0.20333891082908934,0.0,0.20333891082908934,1.0,False
4,1.0,cloud_trace,2024-01-01T04:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.0002677407254654187,0.26774072546541866,1000.0,0.0002677407254654187,0.26774072546541866,0.0,0.0,0.26774072546541866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,30.549737099994672,0,0,0,0,0,0,two_agent,3056,246,3302,1.0053548145093083,1.0053548145093083,0.0,1.5516784198683573,3.3694764969080113,3.2039038105676654,21.0,22.66987298107781,2.5570332343776654,1.0053548145093083,1.5516784198683573,2.5570332343776654,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,2.5570332343776654,75.0,71.25,0.03409377645836887,normal,0,0,2.5570332343776654,2.5570332343776654,0.0,21.019993075096018,0,0.2,0.511406646875533,0.511406646875533,0.0,0.511406646875533,2.5434137256563467,False
5,1.0,cloud_trace,2024-01-01T05:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.0003083749812078493,0.06167499624156986,1000.0,6.167499624156986e-05,0.06167499624156986,0.0,0.0,0.0,0.3083749812078493,0.06167499624156986,0.24669998496627943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,27.942728800000623,0,0,0,0,0,0,two_agent,3056,246,3302,1.0012334999248313,1.0012334999248313,0.0,1.434927552508267,2.973131338254923,3.1800660171779818,21.0,23.464466094067262,2.436161052433098,1.0012334999248313,1.434927552508267,2.436161052433098,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,2.436161052433098,75.0,71.25,0.03248214736577464,normal,0,0,2.436161052433098,2.436161052433098,0.0,21.00999653754801,0,0.2,0.48723221048661963,0.48723221048661963,0.0,0.48723221048661963,2.433159750064291,False
6,1.0,cloud_trace,2024-01-01T06:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.004370304283614267,4.370304283614267,1000.0,0.004370304283614267,4.370304283614267,0.0,0.0,0.3619107736797033,4.008393509934564,4.008393509934564,0.24669998496627943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,29.23371380000026,0,0,0,0,0,0,two_agent,3056,246,3302,1.0874060856722854,1.0874060856722854,0.0,1.509177203726587,3.177899014535022,3.149,21.0,24.5,2.5965832893988723,1.0874060856722854,1.509177203726587,2.5965832893988723,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7,400.0,10000,0.04953560371517028,0.0,0.0,2.5965832893988723,75.0,71.25,0.0346211105253183,normal,0,0,2.5965832893988723,2.5965832893988723,0.0,21.004998268774003,0,0.2,0.5193166578797744,0.5193166578797744,0.0,0.5193166578797744,2.3878690064471573,False
7,1.0,cloud_trace,2024-01-01T07:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.0022312638422566965,0.4955927654445953,1000.0,0.0004955927654445953,0.4955927654445953,0.0,0.0,0.0,2.2312638422566966,0.4955927654445953,1.982371061778381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,27.736853499984136,0,0,0,0,0,0,two_agent,3056,246,3302,1.009911855308892,1.009911855308892,0.0,0.0,0.0,3.172822856765378,21.5,25.705904774487397,1.009911855308892,1.009911855308892,0.0,1.009911855308892,12.940952255126037,11.213422540824407,1.009911855308892,10.203510685515514,1.7275297143016317,-10.203510685515514,-10.203510685515514,0.0,10.203510685515514,0.7323111171707991,400.0,10000,0.04953560371517028,0.0,0.0,0.0,75.0,71.25,0.01346549140411856,normal,0,0,0.0,0.0,0.0,21.046371637716504,0,0.2,0.0,0.0,0.0,0.0,1.0,False
8,1.0,cloud_trace,2024-01-01T08:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.0,0.3964742123556762,1000.0,0.00039647421235567624,0.39647421235567626,0.0,0.0,0.0,0.0,0.3964742123556762,1.5858968494227048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,29.158445800014306,0,0,0,0,0,0,two_agent,3056,246,3302,1.0079294842471136,1.0079294842471136,0.0,0.0,0.0,3.134,21.5,27.0,1.0079294842471136,1.0079294842471136,0.0,1.0079294842471136,24.999999999999996,24.999999999999996,1.0079294842471136,23.992070515752882,0.0,-23.992070515752882,-23.992070515752882,0.0,23.992070515752882,0.8082860071373499,400.0,10000,0.04953560371517028,0.0,0.0,0.0,75.0,71.25,0.013439059789961514,normal,0,0,0.0,0.0,0.0,21.095550977606212,0,0.3,0.0,0.0,0.0,0.0,1.0,False
9,1.0,cloud_trace,2024-01-01T09:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,0.0,0.649563262572622,1000.0,0.000649563262572622,0.649563262572622,0.0,0.0,0.0,0.0,0.649563262572622,0.9363335868500828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.19007650000276,0,0,0,0,0,0,two_agent,3056,246,3302,1.0129912652514523,1.0129912652514523,0.0,3.262162646380505,8.383652930190564,3.0351771432346215,21.0,28.294095225512603,4.275153911631957,1.0129912652514523,3.262162646380505,4.275153911631957,35.35533905932738,34.27515391163196,4.275153911631957,30.0,1.0801851476954205,-30.0,-30.0,0.0,30.0,0.9032860071373499,400.0,10000,0.04953560371517028,0.0,0.0,0.0,75.0,71.25,0.05700205215509276,normal,0,0,0.0,0.0,0.0,21.047775488803104,0,0.3,0.0,0.0,0.0,0.0,4.220326530229998,False
