hour,timestep_h,workload,workload_cpu_units,total_cpu_capacity,assigned_workload,assigned_workload_cpu_units,unmet_workload,unmet_workload_cpu_units,interactive_workload_cpu_units,batch_arrival_cpu_units,batch_served_cpu_units,batch_backlog_cpu_units,batch_deadline_missed_cpu_units,agent_response_time_s,agent_timed_out,fallback_used,agentic_architecture,agent_prompt_tokens,agent_completion_tokens,agent_total_tokens,IT_power_kw,cooling_power_kw,cooling_heat_removed_kw,effective_cooling_cop,cooling_setpoint_C,ambient_temperature_C,total_power_kw,IT_energy_kwh,cooling_energy_kwh,total_energy_kwh,solar_kw,solar_used_kwh,solar_to_load_kwh,solar_to_battery_kwh,solar_curtailed_kwh,battery_command_kw,battery_power_kw,battery_discharge_kwh,battery_charge_kwh,battery_SOC,grid_power_kw,facility_power_capacity_kw,power_risk_ratio,power_risk_level,power_cap_violation,grid_energy_kwh,grid_to_load_kwh,grid_to_battery_kwh,temperature_C,temperature_violation,electricity_price,cost,pue
0,1.0,0.33349364905389034,333.49364905389035,1000.0,0.33349364905389034,333.49364905389035,0.0,0.0,233.44555433772322,100.04809471616713,100.04809471616713,0,0.0,0.0,0,0,not_applicable,0,0,0,10.669872981077805,3.7007320451578,10.971315822562817,3.323903810567666,22.0,22.669872981077805,14.370605026235605,10.669872981077805,3.7007320451578,14.370605026235605,0.0,0.0,0.0,0.0,0.0,20.0,14.370605026235605,14.370605026235605,0.0,0.6495768244693487,0.0,35.0,0.410588715035303,normal,0,0.0,0.0,0.0,21.0,0,0.2,0.0,1.3468393721013139
1,1.0,0.308518543427733,308.518543427733,1000.0,0.308518543427733,308.518543427733,0.0,0.0,215.96298039941308,92.55556302831991,92.55556302831991,0,0.0,0.0,0,0,not_applicable,0,0,0,10.17037086855466,3.4689963476688273,10.247037759404256,3.33888887394336,22.0,22.17037086855466,13.639367216223487,10.17037086855466,3.4689963476688273,13.639367216223487,0.0,0.0,0.0,0.0,0.0,20.0,13.639367216223487,13.639367216223487,0.0,0.6017193956404944,0.0,35.0,0.3896962061778139,normal,0,0.0,0.0,0.0,21.0,0,0.2,0.0,1.3410884806958683
2,1.0,0.30000000000000004,300.00000000000006,1000.0,0.30000000000000004,300.00000000000006,0.0,0.0,210.00000000000003,90.00000000000003,90.00000000000003,0,0.0,0.0,0,0,not_applicable,0,0,0,10.0,3.3904306220095695,10.0,3.344,22.0,22.0,13.39043062200957,10.0,3.3904306220095695,13.39043062200957,0.0,0.0,0.0,0.0,0.0,20.0,13.39043062200957,13.39043062200957,0.0,0.554735428545724,0.0,35.0,0.38258373205741625,normal,0,0.0,0.0,0.0,21.0,0,0.2,0.0,1.339043062200957
3,1.0,0.308518543427733,308.518543427733,1000.0,0.308518543427733,308.518543427733,0.0,0.0,215.96298039941308,92.55556302831991,92.55556302831991,0,0.0,0.0,0,0,not_applicable,0,0,0,10.17037086855466,3.4689963476688273,10.247037759404256,3.33888887394336,22.0,22.17037086855466,13.639367216223487,10.17037086855466,3.4689963476688273,13.639367216223487,0.0,0.0,0.0,0.0,0.0,20.0,13.639367216223487,13.639367216223487,0.0,0.5068779997168696,0.0,35.0,0.3896962061778139,normal,0,0.0,0.0,0.0,21.0,0,0.2,0.0,1.3410884806958683
4,1.0,0.3334936490538904,333.4936490538904,1000.0,0.3334936490538904,333.4936490538904,0.0,0.0,233.44555433772328,100.04809471616713,100.04809471616713,0,0.0,0.0,0,0,not_applicable,0,0,0,10.669872981077807,3.7007320451578014,10.97131582256282,3.3239038105676655,22.0,22.66987298107781,14.370605026235609,10.669872981077807,3.7007320451578014,14.370605026235609,0.0,0.0,0.0,0.0,0.0,20.0,14.370605026235609,14.370605026235609,0.0,0.4564548241862184,0.0,35.0,0.4105887150353031,normal,0,0.0,0.0,0.0,21.0,0,0.2,0.0,1.3468393721013139
5,1.0,0.3732233047033632,373.22330470336317,1000.0,0.3732233047033632,373.22330470336317,0.0,0.0,261.2563132923542,111.96699141100896,111.96699141100896,0,0.0,0.0,0,0,not_applicable,0,0,0,12.464466094067262,4.361580092139242,13.07347583639753,3.300066017177982,22.0,23.464466094067262,16.826046186206504,12.464466094067262,4.361580092139242,16.826046186206504,0.0,0.0,0.0,0.0,0.0,20.0,16.826046186206504,16.826046186206504,0.0,0.3974160656381254,0.0,35.0,0.48074417674875725,normal,0,0.0,0.0,0.0,21.0,0,0.2,0.0,1.3499211325397429
6,1.0,0.42500000000000004,425.00000000000006,1000.0,0.42500000000000004,425.00000000000006,0.0,0.0,297.5,127.50000000000006,127.50000000000006,0,0.0,0.0,0,0,not_applicable,0,0,0,13.5,4.858550015295197,14.575,3.269,22.0,24.5,18.358550015295197,13.5,4.858550015295197,18.358550015295197,0.0,0.0,0.0,0.0,0.0,20.0,18.358550015295197,18.358550015295197,0.0,0.33300010067217733,0.0,35.0,0.5245300004370056,normal,0,0.0,0.0,0.0,21.0,0,0.2,0.0,1.3598925937255701
7,1.0,0.48529523872436986,485.2952387243699,1000.0,0.48529523872436986,485.2952387243699,0.0,0.0,339.7066671070589,145.588571617311,145.588571617311,0,0.0,0.0,0,0,not_applicable,0,0,0,15.705904774487397,5.743182317230305,17.273561923006724,3.232822856765378,22.0,25.705904774487397,21.4490870917177,15.705904774487397,5.743182317230305,21.4490870917177,12.940952255126037,12.940952255126037,12.940952255126037,0.0,0.0,10.0,8.508134836591664,8.508134836591664,0.0,0.30314699598238204,0.0,35.0,0.6128310597633628,normal,0,0.0,0.0,0.0,21.0,0,0.2,0.0,1.3656702622162529
8,1.0,0.55,550.0,1000.0,0.55,550.0,0.0,0.0,385.0,165.0,165.0,0,0.0,0.0,0,0,not_applicable,0,0,0,18.0,6.661740763932373,20.0,3.194,22.0,27.0,24.66174076393237,18.0,6.661740763932373,24.66174076393237,24.999999999999996,24.66174076393237,24.66174076393237,0.0,0.33825923606762487,0.0,0.0,0.0,0.0,0.30314699598238204,0.0,35.0,0.704621164683782,normal,0,0.0,0.0,0.0,21.00125,0,0.3,0.0,1.370096709107354
9,1.0,0.6147047612756302,614.7047612756302,1000.0,0.6147047612756302,614.7047612756302,0.0,0.0,430.2933328929411,184.41142838268905,184.41142838268905,0,0.0,0.0,0,0,not_applicable,0,0,0,19.294095225512603,6.73878831268929,20.0,3.1551771432346216,22.0,28.294095225512603,26.032883538201894,19.294095225512603,6.73878831268929,26.032883538201894,35.35533905932738,26.032883538201894,26.032883538201894,0.0,9.322455521125484,0.0,0.0,0.0,0.0,0.30314699598238204,0.0,35.0,0.7437966725200541,normal,0,0.0,0.0,0.0,21.025947663462414,0,0.3,0.0,1.3492668733063256
10,1.0,0.675,675.0,1000.0,0.675,675.0,0.0,0.0,472.49999999999994,202.50000000000006,202.50000000000006,0,0.0,0.0,0,0,not_applicable,0,0,0,21.5,6.812311638345625,20.0,3.1189999999999998,22.0,29.5,28.312311638345626,21.5,6.812311638345625,28.312311638345626,43.30127018922193,28.312311638345626,28.312311638345626,0.0,14.988958550876305,0.0,0.0,0.0,0.0,0.30314699598238204,0.0,35.0,0.8089231896670179,warning,0,0.0,0.0,0.0,21.084222990565774,0,0.3,0.0,1.3168517041090988
11,1.0,0.7267766952966369,726.776695296637,1000.0,0.7267766952966369,726.776695296637,0.0,0.0,508.74368670764585,218.0330085889911,218.0330085889911,0,0.0,0.0,0,0,not_applicable,0,0,0,23.53553390593274,6.876822403347591,20.0,3.087933982822018,22.0,30.535533905932738,30.412356309280334,23.53553390593274,6.876822403347591,30.412356309280334,48.29629131445341,30.412356309280334,30.412356309280334,0.0,17.88393500517308,0.0,0.0,0.0,0.0,0.30314699598238204,0.0,35.0,0.8689244659794381,warning,0,0.0,0.0,0.0,21.172778148919768,0,0.3,0.0,1.2921889272124867
12,1.0,0.7665063509461096,766.5063509461096,1000.0,0.7665063509461096,766.5063509461096,0.0,0.0,536.5544456622766,229.95190528383296,229.95190528383296,0,0.0,0.0,0,0,not_applicable,0,0,0,24.330127018922195,6.927210232164832,20.0,3.064096189432334,22.0,31.33012701892219,31.257337251087026,24.330127018922195,6.927210232164832,31.257337251087026,50.0,31.257337251087026,31.257337251087026,0.0,18.742662748912974,0.0,0.0,0.0,0.0,0.30314699598238204,0.0,35.0,0.8930667786024865,warning,0,0.0,0.0,0.0,21.275181837706985,0,0.15,0.0,1.2847173887245782
13,1.0,0.7914814565722671,791.4814565722671,1000.0,0.7914814565722671,791.4814565722671,0.0,0.0,554.037019600587,237.44443697168015,237.44443697168015,0,0.0,0.0,0,0,not_applicable,0,0,0,24.829629131445344,6.959288649431954,20.0,3.0491111260566397,22.0,31.82962913144534,31.7889177808773,24.829629131445344,6.959288649431954,31.7889177808773,48.29629131445341,31.7889177808773,31.7889177808773,0.0,16.507373533576114,0.0,0.0,0.0,0.0,0.30314699598238204,0.0,35.0,0.9082547937393514,warning,0,0.0,0.0,0.0,21.385998979228763,0,0.15,0.0,1.2802816188912949
14,1.0,0.8,800.0,1000.0,0.8,800.0,0.0,0.0,560.0,240.0,240.0,0,0.0,0.0,0,0,not_applicable,0,0,0,25.000000000000004,6.97030223390276,20.0,3.044,22.0,32.0,31.970302233902764,25.000000000000004,6.97030223390276,31.970302233902764,43.30127018922194,31.970302233902764,31.970302233902764,0.0,11.330967955319174,0.0,0.0,0.0,0.0,0.30314699598238204,0.0,35.0,0.9134372066829362,warning,0,0.0,0.0,0.0,21.499211485608583,0,0.15,0.0,1.2788120893561103
15,1.0,0.7914814565722671,791.4814565722671,1000.0,0.7914814565722671,791.4814565722671,0.0,0.0,554.037019600587,237.44443697168015,237.44443697168015,0,0.0,0.0,0,0,not_applicable,0,0,0,24.829629131445344,6.959288649431954,20.0,3.0491111260566397,22.0,31.82962913144534,31.7889177808773,24.829629131445344,6.959288649431954,31.7889177808773,35.35533905932738,31.7889177808773,31.7889177808773,0.0,3.566421278450079,0.0,0.0,0.0,0.0,0.30314699598238204,0.0,35.0,0.9082547937393514,warning,0,0.0,0.0,0.0,21.608628441830977,0,0.15,0.0,1.2802816188912949
