hour,timestep_h,workload,workload_cpu_units,total_cpu_capacity,assigned_workload,assigned_workload_cpu_units,unmet_workload,unmet_workload_cpu_units,interactive_workload_cpu_units,batch_arrival_cpu_units,batch_served_cpu_units,batch_backlog_cpu_units,batch_deadline_missed_cpu_units,agent_response_time_s,agent_timed_out,fallback_used,agentic_architecture,agent_prompt_tokens,agent_completion_tokens,agent_total_tokens,IT_power_kw,cooling_power_kw,cooling_heat_removed_kw,effective_cooling_cop,cooling_setpoint_C,ambient_temperature_C,total_power_kw,IT_energy_kwh,cooling_energy_kwh,total_energy_kwh,solar_kw,solar_used_kwh,solar_to_load_kwh,solar_to_battery_kwh,solar_curtailed_kwh,battery_command_kw,battery_power_kw,battery_discharge_kwh,battery_charge_kwh,battery_SOC,grid_power_kw,facility_power_capacity_kw,power_risk_ratio,power_risk_level,power_cap_violation,grid_energy_kwh,grid_to_load_kwh,grid_to_battery_kwh,temperature_C,temperature_violation,electricity_price,cost,pue
0,1.0,0.33349364905389034,333.49364905389035,1000.0,0.33349364905389034,333.49364905389035,0.0,0.0,233.44555433772322,100.04809471616713,100.04809471616713,0,0.0,0.0,0,0,not_applicable,0,0,0,11.669872981077805,4.0865405565171455,11.921315822562818,3.323903810567666,22.0,22.669872981077805,15.756413537594952,11.669872981077805,4.0865405565171455,15.756413537594952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,15.756413537594952,35.0,0.45018324393128434,normal,0,15.756413537594952,15.756413537594952,0.0,21.0,0,0.2,3.1512827075189906,1.3501786663096758
1,1.0,0.308518543427733,308.518543427733,1000.0,0.308518543427733,308.518543427733,0.0,0.0,215.96298039941308,92.55556302831991,92.55556302831991,0,0.0,0.0,0,0,not_applicable,0,0,0,11.17037086855466,3.8535221392918384,11.197037759404255,3.33888887394336,22.0,22.17037086855466,15.023893007846498,11.17037086855466,3.8535221392918384,15.023893007846498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,15.023893007846498,35.0,0.42925408593847136,normal,0,15.023893007846498,15.023893007846498,0.0,21.0,0,0.2,3.0047786015692997,1.3449770992062369
2,1.0,0.30000000000000004,300.00000000000006,1000.0,0.30000000000000004,300.00000000000006,0.0,0.0,210.00000000000003,90.00000000000003,90.00000000000003,0,0.0,0.0,0,0,not_applicable,0,0,0,11.0,3.7745215311004783,10.95,3.344,22.0,22.0,14.77452153110048,11.0,3.7745215311004783,14.77452153110048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,14.77452153110048,35.0,0.42212918660287085,normal,0,14.77452153110048,14.77452153110048,0.0,21.0,0,0.2,2.954904306220096,1.3431383210091346
3,1.0,0.308518543427733,308.518543427733,1000.0,0.308518543427733,308.518543427733,0.0,0.0,215.96298039941308,92.55556302831991,92.55556302831991,0,0.0,0.0,0,0,not_applicable,0,0,0,11.17037086855466,3.8535221392918384,11.197037759404255,3.33888887394336,22.0,22.17037086855466,15.023893007846498,11.17037086855466,3.8535221392918384,15.023893007846498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,15.023893007846498,35.0,0.42925408593847136,normal,0,15.023893007846498,15.023893007846498,0.0,21.0,0,0.2,3.0047786015692997,1.3449770992062369
4,1.0,0.3334936490538904,333.4936490538904,1000.0,0.3334936490538904,333.4936490538904,0.0,0.0,233.44555433772328,100.04809471616713,100.04809471616713,0,0.0,0.0,0,0,not_applicable,0,0,0,11.669872981077809,4.086540556517148,11.921315822562823,3.3239038105676655,22.0,22.66987298107781,15.756413537594957,11.669872981077809,4.086540556517148,15.756413537594957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,15.756413537594957,35.0,0.4501832439312845,normal,0,15.756413537594957,15.756413537594957,0.0,21.0,0,0.2,3.1512827075189915,1.3501786663096758
5,1.0,0.3732233047033632,373.22330470336317,1000.0,0.3732233047033632,373.22330470336317,0.0,0.0,261.2563132923542,111.96699141100896,111.96699141100896,0,0.0,0.0,0,0,not_applicable,0,0,0,13.464466094067264,4.749453121058943,14.023475836397532,3.300066017177982,22.0,23.464466094067262,18.213919215126207,13.464466094067264,4.749453121058943,18.213919215126207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,18.213919215126207,35.0,0.5203976918607488,normal,0,18.213919215126207,18.213919215126207,0.0,21.0,0,0.2,3.6427838430252417,1.352739803262727
6,1.0,0.42500000000000004,425.00000000000006,1000.0,0.42500000000000004,425.00000000000006,0.0,0.0,297.5,127.50000000000006,127.50000000000006,0,0.0,0.0,0,0,not_applicable,0,0,0,15.500000000000002,5.539767513000918,16.475,3.269,22.0,24.5,21.039767513000918,15.500000000000002,5.539767513000918,21.039767513000918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,21.039767513000918,35.0,0.601136214657169,normal,0,21.039767513000918,21.039767513000918,0.0,21.0,0,0.2,4.2079535026001835,1.3574043556774784
7,1.0,0.48529523872436986,485.2952387243699,1000.0,0.48529523872436986,485.2952387243699,0.0,0.0,339.7066671070589,145.588571617311,145.588571617311,0,0.0,0.0,0,0,not_applicable,0,0,0,16.705904774487397,6.137043144776708,18.223561923006727,3.232822856765378,22.0,25.705904774487397,22.842947919264105,16.705904774487397,6.137043144776708,22.842947919264105,12.940952255126037,12.940952255126037,12.940952255126037,0.0,0.0,0.0,0.0,0.0,0.0,0.7,9.901995664138068,35.0,0.6526556548361173,normal,0,9.901995664138068,9.901995664138068,0.0,21.0,0,0.2,1.9803991328276138,1.3673577233691023
8,1.0,0.55,550.0,1000.0,0.55,550.0,0.0,0.0,385.0,165.0,165.0,0,0.0,0.0,0,0,not_applicable,0,0,0,19.0,7.090482154038823,21.05,3.194,22.0,27.0,26.090482154038824,19.0,7.090482154038823,26.090482154038824,24.999999999999996,24.999999999999996,24.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0904821540388276,35.0,0.7454423472582521,normal,0,1.0904821540388276,1.0904821540388276,0.0,21.0,0,0.3,0.3271446462116483,1.3731832712652012
9,1.0,0.6147047612756302,614.7047612756302,1000.0,0.6147047612756302,614.7047612756302,0.0,0.0,430.2933328929411,184.41142838268905,184.41142838268905,0,0.0,0.0,0,0,not_applicable,0,0,0,21.294095225512603,8.067384331554724,23.876438076993274,3.1551771432346216,22.0,28.294095225512603,29.361479557067327,21.294095225512603,8.067384331554724,29.361479557067327,35.35533905932738,35.35533905932738,29.361479557067327,5.993859502260051,0.0,-30.0,-30.0,0.0,30.0,0.7949999999999999,24.00614049773995,35.0,0.8388994159162093,warning,0,24.00614049773995,0.0,24.00614049773995,21.0,0,0.3,7.201842149321984,1.378855464208178
