hour,timestep_h,workload,workload_cpu_units,total_cpu_capacity,assigned_workload,assigned_workload_cpu_units,unmet_workload,unmet_workload_cpu_units,interactive_workload_cpu_units,batch_arrival_cpu_units,batch_served_cpu_units,batch_backlog_cpu_units,batch_deadline_missed_cpu_units,agent_response_time_s,agent_timed_out,fallback_used,agentic_architecture,agent_prompt_tokens,agent_completion_tokens,agent_total_tokens,IT_power_kw,cooling_power_kw,cooling_heat_removed_kw,effective_cooling_cop,cooling_setpoint_C,ambient_temperature_C,total_power_kw,IT_energy_kwh,cooling_energy_kwh,total_energy_kwh,solar_kw,solar_used_kwh,solar_to_load_kwh,solar_to_battery_kwh,solar_curtailed_kwh,battery_command_kw,battery_power_kw,battery_discharge_kwh,battery_charge_kwh,battery_SOC,grid_power_kw,facility_power_capacity_kw,power_risk_ratio,power_risk_level,power_cap_violation,grid_energy_kwh,grid_to_load_kwh,grid_to_battery_kwh,temperature_C,temperature_violation,electricity_price,cost,pue
0,1.0,0.33349364905389034,333.49364905389035,1000.0,0.33349364905389034,333.49364905389035,0.0,0.0,233.44555433772322,100.04809471616713,100.04809471616713,0,0.0,0.0,0,0,not_applicable,0,0,0,10.669872981077805,3.6580773116076912,10.971315822562817,3.419903810567666,22.8,22.669872981077805,14.327950292685497,10.669872981077805,3.6580773116076912,14.327950292685497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,14.327950292685497,35.0,0.40937000836244275,normal,0,14.327950292685497,14.327950292685497,0.0,21.0,0,0.2,2.8655900585370997,1.3428416925014017
1,1.0,0.308518543427733,308.518543427733,1000.0,0.308518543427733,308.518543427733,0.0,0.0,215.96298039941308,92.55556302831991,92.55556302831991,0,0.0,0.0,0,0,not_applicable,0,0,0,10.17037086855466,3.4332224958242494,10.247037759404256,3.4348888739433603,22.8,22.17037086855466,13.60359336437891,10.17037086855466,3.4332224958242494,13.60359336437891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,13.60359336437891,35.0,0.38867409612511167,normal,0,13.60359336437891,13.60359336437891,0.0,21.0,0,0.2,2.720718672875782,1.3375710227479791
2,1.0,0.30000000000000004,300.00000000000006,1000.0,0.30000000000000004,300.00000000000006,0.0,0.0,210.00000000000003,90.00000000000003,90.00000000000003,0,0.0,0.0,0,0,not_applicable,0,0,0,10.0,3.3569767441860465,10.0,3.44,22.8,22.0,13.356976744186046,10.0,3.3569767441860465,13.356976744186046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,13.356976744186046,35.0,0.38162790697674415,normal,0,13.356976744186046,13.356976744186046,0.0,21.0,0,0.2,2.6713953488372093,1.3356976744186047
3,1.0,0.308518543427733,308.518543427733,1000.0,0.308518543427733,308.518543427733,0.0,0.0,215.96298039941308,92.55556302831991,92.55556302831991,0,0.0,0.0,0,0,not_applicable,0,0,0,10.17037086855466,3.4332224958242494,10.247037759404256,3.4348888739433603,22.8,22.17037086855466,13.60359336437891,10.17037086855466,3.4332224958242494,13.60359336437891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,13.60359336437891,35.0,0.38867409612511167,normal,0,13.60359336437891,13.60359336437891,0.0,21.0,0,0.2,2.720718672875782,1.3375710227479791
4,1.0,0.3334936490538904,333.4936490538904,1000.0,0.3334936490538904,333.4936490538904,0.0,0.0,233.44555433772328,100.04809471616713,100.04809471616713,0,0.0,0.0,0,0,not_applicable,0,0,0,10.669872981077807,3.658077311607693,10.97131582256282,3.4199038105676656,22.8,22.66987298107781,14.3279502926855,10.669872981077807,3.658077311607693,14.3279502926855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,14.3279502926855,35.0,0.40937000836244286,normal,0,14.3279502926855,14.3279502926855,0.0,21.0,0,0.2,2.8655900585371,1.3428416925014017
5,1.0,0.3732233047033632,373.22330470336317,1000.0,0.3732233047033632,373.22330470336317,0.0,0.0,261.2563132923542,111.96699141100896,111.96699141100896,0,0.0,0.0,0,0,not_applicable,0,0,0,12.464466094067262,4.29959413929802,13.07347583639753,3.396066017177982,22.8,23.464466094067262,16.76406023336528,12.464466094067262,4.29959413929802,16.76406023336528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,16.76406023336528,35.0,0.4789731495247223,normal,0,16.76406023336528,16.76406023336528,0.0,21.0,0,0.2,3.3528120466730567,1.3449481194661443
6,1.0,0.42500000000000004,425.00000000000006,1000.0,0.42500000000000004,425.00000000000006,0.0,0.0,297.5,127.50000000000006,127.50000000000006,0,0.0,0.0,0,0,not_applicable,0,0,0,13.5,4.781352154531946,14.575,3.365,22.8,24.5,18.281352154531945,13.5,4.781352154531946,18.281352154531945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,18.281352154531945,35.0,0.5223243472723412,normal,0,18.281352154531945,18.281352154531945,0.0,21.0,0,0.2,3.656270430906389,1.354174233669033
7,1.0,0.48529523872436986,485.2952387243699,1000.0,0.48529523872436986,485.2952387243699,0.0,0.0,339.7066671070589,145.588571617311,145.588571617311,0,0.0,0.0,0,0,not_applicable,0,0,0,15.705904774487397,5.639090157771709,17.273561923006724,3.328822856765378,22.8,25.705904774487397,21.344994932259105,15.705904774487397,5.639090157771709,21.344994932259105,12.940952255126037,12.940952255126037,12.940952255126037,0.0,0.0,0.0,0.0,0.0,0.0,0.7,8.404042677133068,35.0,0.6098569980645459,normal,0,8.404042677133068,8.404042677133068,0.0,21.0,0,0.2,1.6808085354266138,1.3590426810005765
8,1.0,0.55,550.0,1000.0,0.55,550.0,0.0,0.0,385.0,165.0,165.0,0,0.0,0.0,0,0,not_applicable,0,0,0,18.0,6.559422492401215,20.099999999999998,3.29,22.8,27.0,24.559422492401215,18.0,6.559422492401215,24.559422492401215,24.999999999999996,24.559422492401215,24.559422492401215,0.0,0.4405775075987819,0.0,0.0,0.0,0.0,0.7,0.0,35.0,0.7016977854971775,normal,0,0.0,0.0,0.0,21.0,0,0.3,0.0,1.3644123606889564
9,1.0,0.6147047612756302,614.7047612756302,1000.0,0.6147047612756302,614.7047612756302,0.0,0.0,430.2933328929411,184.41142838268905,184.41142838268905,0,0.0,0.0,0,0,not_applicable,0,0,0,19.294095225512603,7.209532658109409,21.976438076993276,3.2511771432346217,22.8,28.294095225512603,26.503627883622013,19.294095225512603,7.209532658109409,26.503627883622013,35.35533905932738,26.503627883622013,26.503627883622013,0.0,8.851711175705365,0.0,0.0,0.0,0.0,0.7,0.0,35.0,0.7572465109606289,normal,0,0.0,0.0,0.0,21.0,0,0.3,0.0,1.3736652366355193
10,1.0,0.675,675.0,1000.0,0.675,675.0,0.0,0.0,472.49999999999994,202.50000000000006,202.50000000000006,0,0.0,0.0,0,0,not_applicable,0,0,0,21.5,7.448444790046657,22.5,3.215,22.8,29.5,28.948444790046658,21.5,7.448444790046657,28.948444790046658,43.30127018922193,28.948444790046658,28.948444790046658,0.0,14.352825399175273,0.0,0.0,0.0,0.0,0.7,0.0,35.0,0.8270984225727617,warning,0,0.0,0.0,0.0,21.0271875,0,0.3,0.0,1.3464392925603097
11,1.0,0.7267766952966369,726.776695296637,1000.0,0.7267766952966369,726.776695296637,0.0,0.0,508.74368670764585,218.0330085889911,218.0330085889911,0,0.0,0.0,0,0,not_applicable,0,0,0,23.53553390593274,7.516729436411731,22.5,3.183933982822018,22.8,30.535533905932738,31.052263342344474,23.53553390593274,7.516729436411731,31.052263342344474,48.29629131445341,31.052263342344474,31.052263342344474,0.0,17.24402797210894,0.0,0.0,0.0,0.0,0.7,0.0,35.0,0.887207524066985,warning,0,0.0,0.0,0.0,21.08484913017003,0,0.3,0.0,1.3193779017911698
12,1.0,0.7665063509461096,766.5063509461096,1000.0,0.7665063509461096,766.5063509461096,0.0,0.0,536.5544456622766,229.95190528383296,229.95190528383296,0,0.0,0.0,0,0,not_applicable,0,0,0,24.330127018922195,7.570036432828268,22.5,3.160096189432334,22.8,31.33012701892219,31.900163451750462,24.330127018922195,7.570036432828268,31.900163451750462,50.0,41.90016345175046,31.900163451750462,10.0,8.099836548249538,-10.0,-10.0,0.0,10.0,0.7316666666666666,0.0,35.0,0.9114332414785846,warning,0,0.0,0.0,0.0,21.156552375324434,0,0.15,0.0,1.3111383852184926
13,1.0,0.7914814565722671,791.4814565722671,1000.0,0.7914814565722671,791.4814565722671,0.0,0.0,554.037019600587,237.44443697168015,237.44443697168015,0,0.0,0.0,0,0,not_applicable,0,0,0,24.829629131445344,7.60396025710883,22.5,3.14511112605664,22.8,31.82962913144534,32.433589388554175,24.829629131445344,7.60396025710883,32.433589388554175,48.29629131445341,42.433589388554175,32.433589388554175,10.0,5.862701925899238,-10.0,-10.0,0.0,10.0,0.7633333333333332,0.0,35.0,0.9266739825301192,warning,0,0.0,0.0,0.0,21.236860950986102,0,0.15,0.0,1.3062454222273838
14,1.0,0.8,800.0,1000.0,0.8,800.0,0.0,0.0,560.0,240.0,240.0,0,0.0,0.0,0,0,not_applicable,0,0,0,25.000000000000004,7.615605095541401,22.5,3.14,22.8,32.0,32.615605095541405,25.000000000000004,7.615605095541401,32.615605095541405,43.30127018922194,42.615605095541405,32.615605095541405,10.0,0.6856650936805337,-10.0,-10.0,0.0,10.0,0.7949999999999998,0.0,35.0,0.931874431301183,warning,0,0.0,0.0,0.0,21.31975557004244,0,0.15,0.0,1.304624203821656
15,1.0,0.7914814565722671,791.4814565722671,1000.0,0.7914814565722671,791.4814565722671,0.0,0.0,554.037019600587,237.44443697168015,237.44443697168015,0,0.0,0.0,0,0,not_applicable,0,0,0,24.829629131445344,7.60396025710883,22.5,3.14511112605664,22.8,31.82962913144534,32.433589388554175,24.829629131445344,7.60396025710883,32.433589388554175,35.35533905932738,35.35533905932738,32.433589388554175,2.9217496707732025,0.0,-10.0,-10.0,0.0,10.0,0.8266666666666664,7.0782503292267975,35.0,0.9266739825301192,warning,0,7.0782503292267975,0.0,7.0782503292267975,21.39904412573712,0,0.15,1.0617375493840195,1.3062454222273838
16,1.0,0.7665063509461097,766.5063509461097,1000.0,0.7665063509461097,766.5063509461097,0.0,0.0,536.5544456622767,229.95190528383296,229.95190528383296,0,0.0,0.0,0,0,not_applicable,0,0,0,24.330127018922198,7.570036432828268,22.5,3.160096189432334,22.8,31.330127018922195,31.900163451750466,24.330127018922198,7.570036432828268,31.900163451750466,24.999999999999996,24.999999999999996,24.999999999999996,0.0,0.0,-10.0,-10.0,0.0,10.0,0.8583333333333331,16.90016345175047,35.0,0.9114332414785847,warning,0,16.90016345175047,6.900163451750469,10.0,21.46878365216923,0,0.15,2.53502451776257,1.3111383852184926
